Method,Video,Episode,Chunk,Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE
Proposed,bigbuckbunny,4,40,1,750,901.6,25.77,24.56,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,41,1,750,901.8,24.56,26.69,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,42,1,750,901.0,26.69,28.95,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,43,1,750,900.8,28.95,29.8,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,44,1,750,900.8,29.8,29.99,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,45,1,750,901.8,29.99,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,46,1,750,900.7,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,47,1,750,900.7,30.0,30.0,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,0,0,300,769.8,2.52,4.0,0.721,66.58,0.0,63.48
Proposed,bigbuckbunny,5,1,0,300,446.8,4.0,6.3,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,5,2,0,300,580.4,6.3,8.36,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,5,3,0,300,467.8,8.36,10.6,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,5,4,0,300,757.0,10.6,12.67,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,5,5,1,750,657.4,12.67,14.54,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,5,6,1,750,706.4,14.54,16.8,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,7,1,750,692.8,16.8,19.07,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,8,1,750,989.6,19.07,19.67,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,9,1,750,601.9,19.67,20.93,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,10,1,750,1009.6,20.93,23.64,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,11,1,750,645.2,23.64,24.04,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,12,1,750,418.7,24.04,15.95,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,13,1,750,877.1,15.95,17.55,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,14,1,750,465.1,17.55,14.53,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,15,1,750,398.4,14.53,12.14,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,16,0,300,859.7,12.14,12.73,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,5,17,0,300,1070.5,12.73,15.34,0.0,66.58,0.0,66.58
Proposed,bigbuckbunny,5,18,1,750,875.5,15.34,14.95,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,5,19,1,750,441.8,14.95,12.36,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,20,0,300,813.4,12.36,13.34,0.0,66.58,17.15,49.43
Proposed,bigbuckbunny,5,21,1,750,740.3,13.34,13.63,0.0,83.73,17.15,66.58
Proposed,bigbuckbunny,5,22,1,750,992.4,13.63,14.45,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,23,1,750,597.7,14.45,15.38,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,24,1,750,985.9,15.38,15.06,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,25,1,750,1089.2,15.06,17.48,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,26,1,750,960.4,17.48,19.76,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,27,1,750,1012.1,19.76,21.71,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,28,1,750,1111.0,21.71,22.54,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,5,29,1,750,496.6,22.54,23.56,0.0,83.73,0.0,83.73
