Method,Video,Episode,Chunk,Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,2,42,2,1200,1063.0,4.02,4.0,0.379,90.34,0.0,88.71,2,1200,0.0,90.34,90.34,-1.6300000000000097,0.379,1
Proposed,bigbuckbunny,2,43,2,1200,934.7,4.0,4.69,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,44,2,1200,994.6,4.69,4.0,2.059,90.34,0.0,81.49,2,1200,0.0,90.34,90.34,-8.850000000000009,2.059,1
Proposed,bigbuckbunny,2,45,2,1200,1000.9,4.0,5.64,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,46,2,1200,858.9,5.64,5.78,0.0,90.34,0.0,90.34,3,1850,0.117,95.49,89.84,0.5,-0.117,0
Proposed,bigbuckbunny,2,47,2,1200,1103.0,5.78,7.84,0.0,90.34,0.0,90.34,3,1850,0.0,95.49,95.49,-5.1499999999999915,0.0,0
Proposed,bigbuckbunny,3,0,0,300,1070.0,1.09,4.0,0.866,66.58,0.0,62.86,1,750,3.802,83.73,67.38,-4.519999999999996,-2.936,0
Proposed,bigbuckbunny,3,1,2,1200,1465.1,4.0,4.14,0.0,90.34,23.76,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,3,2,2,1200,835.4,4.14,4.0,0.144,90.34,0.0,89.72,1,750,0.0,83.73,83.73,5.989999999999995,0.144,0
Proposed,bigbuckbunny,3,3,0,300,338.2,4.0,5.11,0.0,66.58,23.76,42.82,1,750,0.317,83.73,82.37,-39.550000000000004,-0.317,0
Proposed,bigbuckbunny,3,4,0,300,799.4,5.11,7.38,0.0,66.58,0.0,66.58,1,750,0.316,83.73,82.37,-15.790000000000006,-0.316,0
Proposed,bigbuckbunny,3,5,2,1200,852.7,7.38,8.62,0.0,90.34,23.76,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,3,6,2,1200,608.4,8.62,8.74,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,3,7,2,1200,376.5,8.74,5.23,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,3,8,1,750,1048.2,5.23,6.26,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,3,9,2,1200,869.5,6.26,7.54,0.0,90.34,6.61,83.73,1,750,0.0,83.73,83.73,0.0,0.0,0
Proposed,bigbuckbunny,3,10,2,1200,861.3,7.54,8.9,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,3,11,2,1200,846.7,8.9,8.95,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,3,12,2,1200,598.8,8.95,4.0,4.73,90.34,0.0,70.0,1,750,0.0,83.73,83.73,-13.730000000000004,4.73,0
Proposed,bigbuckbunny,3,13,1,750,608.7,4.0,4.0,1.558,83.73,6.61,70.42,1,750,0.0,83.73,83.73,-13.310000000000002,1.558,1
Proposed,bigbuckbunny,3,14,2,1200,797.1,4.0,4.0,0.174,90.34,6.61,82.98,1,750,0.0,83.73,83.73,-0.75,0.174,0
Proposed,bigbuckbunny,3,15,2,1200,1016.9,4.0,4.37,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,3,16,1,750,1018.2,4.37,4.0,0.857,83.73,6.61,73.43,1,750,0.0,83.73,83.73,-10.299999999999997,0.857,1
Proposed,bigbuckbunny,3,17,2,1200,1221.8,4.0,4.25,0.0,90.34,6.61,83.73,2,1200,0.0,90.34,83.73,0.0,0.0,1
