Method,Video,Episode,Chunk,Action,Applied_Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Applied_Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,1,34,2,2,1200,689.7,4.0,5.22,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,35,2,2,1200,677.2,5.22,4.43,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,36,2,2,1200,444.9,4.43,4.0,5.486,90.34,0.0,66.75,0,0.0,1,750,0.0,83.73,83.73,-16.980000000000004,5.486,0
Proposed,bigbuckbunny,1,37,2,2,1200,795.5,4.0,5.52,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,38,2,2,1200,664.8,5.52,4.91,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,39,2,2,1200,743.5,4.91,6.03,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,40,2,2,1200,649.3,6.03,4.0,4.134,90.34,0.0,72.56,0,0.0,1,750,0.0,83.73,83.73,-11.170000000000002,4.134,0
Proposed,bigbuckbunny,1,41,2,2,1200,598.7,4.0,4.0,2.168,90.34,0.0,81.02,0,0.0,1,750,0.0,83.73,83.73,-2.710000000000008,2.168,0
Proposed,bigbuckbunny,1,42,2,2,1200,981.2,4.0,4.27,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,43,2,2,1200,1001.1,4.27,5.23,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,1,44,2,2,1200,505.3,5.23,4.0,16.282,90.34,0.0,20.33,0,0.0,1,750,0.322,83.73,82.35,-62.019999999999996,15.96,0
Proposed,bigbuckbunny,1,45,2,2,1200,571.6,4.0,4.0,5.907,90.34,0.0,64.94,0,0.0,1,750,2.192,83.73,74.3,-9.36,3.715,0
Proposed,bigbuckbunny,1,46,0,0,300,594.1,4.0,5.04,0.0,66.58,23.76,42.82,0,0.0,1,750,3.401,83.73,69.11,-26.29,-3.401,0
Proposed,bigbuckbunny,1,47,2,2,1200,930.5,5.04,4.0,0.773,90.34,23.76,63.26,0,0.0,1,750,0.0,83.73,83.73,-20.470000000000006,0.773,0
Proposed,bigbuckbunny,2,0,2,2,1200,1126.0,1.25,4.0,4.835,90.34,0.0,69.55,0,0.0,1,750,2.554,83.73,72.75,-3.200000000000003,2.281,0
Proposed,bigbuckbunny,2,1,2,2,1200,892.4,4.0,4.39,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,2,2,2,1200,941.8,4.39,4.0,1.694,90.34,0.0,83.05,0,0.0,1,750,0.0,83.73,83.73,-0.6800000000000068,1.694,0
Proposed,bigbuckbunny,2,3,2,2,1200,463.6,4.0,4.0,5.42,90.34,0.0,67.03,0,0.0,1,750,0.0,83.73,83.73,-16.700000000000003,5.42,0
Proposed,bigbuckbunny,2,4,0,0,300,1052.0,4.0,5.84,0.0,66.58,23.76,42.82,0,0.0,1,750,1.35,83.73,77.92,-35.1,-1.35,0
Proposed,bigbuckbunny,2,5,2,2,1200,355.7,5.84,4.0,3.719,90.34,23.76,50.59,0,0.0,1,750,1.973,83.73,75.25,-24.659999999999997,1.7459999999999998,0
Proposed,bigbuckbunny,2,6,0,0,300,952.1,4.0,6.45,0.0,66.58,23.76,42.82,0,0.0,1,750,0.0,83.73,83.73,-40.910000000000004,0.0,0
Proposed,bigbuckbunny,2,7,2,2,1200,1023.8,6.45,4.0,0.317,90.34,23.76,65.22,0,0.0,1,750,0.102,83.73,83.29,-18.070000000000007,0.21500000000000002,0
Proposed,bigbuckbunny,2,8,2,2,1200,960.6,4.0,4.0,5.121,90.34,0.0,68.32,0,0.0,1,750,1.7,83.73,76.42,-8.100000000000009,3.4210000000000003,0
Proposed,bigbuckbunny,2,9,2,2,1200,955.9,4.0,4.0,0.317,90.34,0.0,88.98,0,0.0,1,750,0.0,83.73,83.73,5.25,0.317,0
Proposed,bigbuckbunny,2,10,2,2,1200,880.2,4.0,4.0,2.569,90.34,0.0,79.29,0,0.0,1,750,0.0,83.73,83.73,-4.439999999999998,2.569,0
Proposed,bigbuckbunny,2,11,2,2,1200,1063.0,4.0,4.31,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,12,2,2,1200,934.7,4.31,4.0,2.524,90.34,0.0,79.49,0,0.0,1,750,0.0,83.73,83.73,-4.240000000000009,2.524,0
Proposed,bigbuckbunny,2,13,2,2,1200,994.6,4.0,4.09,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,83.73,6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,14,2,2,1200,1000.9,4.09,5.92,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,15,2,2,1200,858.9,5.92,7.04,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,16,2,2,1200,1103.0,7.04,6.18,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,17,2,2,1200,966.8,6.18,7.65,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,18,2,2,1200,810.4,7.65,7.27,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
