Method,Video,Episode,Chunk,Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,1,47,1,750,930.5,15.24,17.67,0.0,83.73,0.0,83.73,3,1850,0.0,95.49,95.49,-11.759999999999991,0.0,0
Proposed,bigbuckbunny,2,0,0,300,1126.0,1.25,4.0,0.969,66.58,0.0,62.41,1,750,4.293,83.73,65.27,-2.8599999999999994,-3.3240000000000003,0
Proposed,bigbuckbunny,2,1,1,750,892.4,4.0,5.87,0.0,83.73,17.15,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,2,2,1,750,941.8,5.87,6.89,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,3,1,750,463.6,6.89,6.44,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,4,1,750,1052.0,6.44,6.96,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,5,1,750,355.7,6.96,7.02,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,6,1,750,952.1,7.02,9.74,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,7,1,750,1023.8,9.74,12.56,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,8,1,750,960.6,12.56,13.06,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,9,1,750,955.9,13.06,15.34,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,10,1,750,880.2,15.34,17.86,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,11,1,750,1063.0,17.86,19.67,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,12,1,750,934.7,19.67,18.25,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,13,1,750,994.6,18.25,20.14,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,14,1,750,1000.9,20.14,20.88,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,15,1,750,858.9,20.88,21.92,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,16,1,750,1103.0,21.92,19.26,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,17,1,750,966.8,19.26,19.42,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,18,1,750,810.4,19.42,18.67,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,19,1,750,971.9,18.67,19.68,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,20,1,750,704.0,19.68,14.95,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,21,1,750,1036.7,14.95,16.3,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,22,1,750,1087.5,16.3,17.4,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,23,1,750,1111.3,17.4,19.75,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,83.73,0.0,0.0,0
Proposed,bigbuckbunny,2,24,1,750,1138.6,19.75,20.01,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,25,1,750,1073.9,20.01,22.41,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,26,1,750,1065.4,22.41,24.86,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,27,1,750,984.5,24.86,26.75,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,28,1,750,824.4,26.75,26.47,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,29,1,750,1037.6,26.47,29.04,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,30,1,750,1055.3,29.04,30.0,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,31,1,750,1126.0,30.0,30.0,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,32,1,750,892.4,30.0,28.98,0.0,83.73,0.0,83.73,1,750,0.0,83.73,77.12,6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,33,1,750,941.8,28.98,30.0,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,34,1,750,463.6,30.0,26.17,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,35,1,750,1052.0,26.17,28.04,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,36,1,750,355.7,28.04,12.99,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,37,1,750,952.1,12.99,13.45,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,38,1,750,1023.8,13.45,13.62,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,39,1,750,960.6,13.62,13.43,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,40,1,750,955.9,13.43,12.51,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,41,1,750,880.2,12.51,14.59,0.0,83.73,0.0,83.73,2,1200,0.0,90.34,83.73,0.0,0.0,0
