Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,2,45,1,1,750,1000.9,4.0,5.26,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,46,1,1,750,858.9,5.26,5.47,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,2,47,1,1,750,1103.0,5.47,7.79,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,0,1,1,750,1070.0,1.09,4.0,5.529,83.73,0.0,59.95,0,0.0
Proposed,bigbuckbunny,3,1,1,1,750,1465.1,4.0,6.29,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,2,1,1,750,835.4,6.29,7.2,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,3,1,1,750,338.2,7.2,4.0,1.218,83.73,0.0,78.49,0,0.0
Proposed,bigbuckbunny,3,4,2,2,1200,799.4,4.0,4.0,8.534,90.34,6.61,47.03,0,0.0
Proposed,bigbuckbunny,3,5,1,1,750,852.7,4.0,4.72,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,6,1,1,750,608.4,4.72,5.78,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,7,1,1,750,376.5,5.78,5.95,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,8,1,1,750,1048.2,5.95,6.33,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,9,1,1,750,869.5,6.33,8.95,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,10,1,1,750,861.3,8.95,11.0,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,11,1,1,750,846.7,11.0,12.5,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,12,1,1,750,598.8,12.5,12.04,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,13,2,2,1200,608.7,12.04,10.89,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,14,2,2,1200,797.1,10.89,12.27,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,15,1,1,750,1016.9,12.27,14.09,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,16,1,1,750,1018.2,14.09,13.68,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,17,2,2,1200,1221.8,13.68,14.3,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,18,2,2,1200,1244.0,14.3,14.03,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,19,2,2,1200,967.8,14.03,14.11,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,20,1,1,750,1259.1,14.11,13.78,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,21,2,2,1200,1059.4,13.78,13.37,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,22,2,2,1200,1076.0,13.37,14.13,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,23,2,2,1200,1209.8,14.13,12.75,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,24,2,2,1200,901.4,12.75,8.2,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,25,2,2,1200,854.8,8.2,8.07,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,26,1,1,750,839.1,8.07,8.19,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,27,2,2,1200,1088.7,8.19,9.93,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,28,1,1,750,1224.0,9.93,11.27,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,29,1,1,750,1011.0,11.27,13.03,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,30,1,1,750,1048.2,13.03,15.5,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,3,31,3,3,1850,1045.6,15.5,16.66,0.0,95.49,11.76,83.73,0,0.0
Proposed,bigbuckbunny,3,32,2,2,1200,876.3,16.66,14.81,0.0,90.34,5.15,85.19,0,0.0
Proposed,bigbuckbunny,3,33,2,2,1200,824.0,14.81,14.62,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,34,2,2,1200,1157.6,14.62,15.27,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,35,2,2,1200,894.8,15.27,15.74,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,36,1,1,750,1077.9,15.74,14.87,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,37,2,2,1200,1041.8,14.87,16.12,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,38,2,2,1200,1157.7,16.12,16.88,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,39,2,2,1200,1092.3,16.88,17.1,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,40,1,1,750,948.7,17.1,13.86,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,41,2,2,1200,1176.1,13.86,12.56,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,42,2,2,1200,954.2,12.56,10.8,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,43,2,2,1200,1010.0,10.8,10.22,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,3,44,1,1,750,904.9,10.22,6.98,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,45,2,2,1200,896.6,6.98,6.1,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,3,46,1,1,750,742.8,6.1,5.7,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,3,47,1,1,750,427.9,5.7,5.38,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,0,1,1,750,891.0,1.78,4.0,6.173,83.73,0.0,57.19,0,0.0
Proposed,bigbuckbunny,4,1,1,1,750,891.2,4.0,5.19,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,2,1,1,750,890.8,5.19,6.29,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,3,1,1,750,879.8,6.29,7.06,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,4,1,1,750,841.8,7.06,4.0,0.383,83.73,0.0,82.08,0,0.0
Proposed,bigbuckbunny,4,5,2,2,1200,900.4,4.0,4.0,0.97,90.34,6.61,79.56,0,0.0
Proposed,bigbuckbunny,4,6,1,1,750,897.6,4.0,6.01,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,4,7,1,1,750,884.1,6.01,8.38,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,8,1,1,750,901.1,8.38,8.17,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,9,2,2,1200,882.9,8.17,10.0,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,4,10,2,2,1200,901.2,10.0,11.01,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,11,2,2,1200,900.7,11.01,11.25,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,12,2,2,1200,901.6,11.25,10.51,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,13,2,2,1200,900.5,10.51,11.03,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,14,2,2,1200,900.3,11.03,12.71,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,15,2,2,1200,897.1,12.71,12.76,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,16,1,1,750,902.5,12.76,11.78,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,4,17,2,2,1200,807.4,11.78,10.67,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,4,18,2,2,1200,902.0,10.67,8.78,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,19,2,2,1200,900.4,8.78,8.57,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,20,1,1,750,902.0,8.57,6.53,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,4,21,1,1,750,901.2,6.53,7.28,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,22,1,1,750,900.6,7.28,8.86,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,23,1,1,750,902.1,8.86,8.36,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,24,1,1,750,901.1,8.36,7.01,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,25,2,2,1200,899.4,7.01,7.09,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,4,26,1,1,750,823.2,7.09,7.13,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,4,27,1,1,750,901.4,7.13,9.43,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,28,1,1,750,901.5,9.43,9.8,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,29,1,1,750,900.7,9.8,11.3,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,30,1,1,750,899.6,11.3,13.51,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,31,1,1,750,902.2,13.51,16.18,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,32,1,1,750,900.9,16.18,16.62,0.0,83.73,0.0,83.73,0,0.0
