Method,Video,Episode,Chunk,Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE
Proposed,bigbuckbunny,4,1,1,750,891.2,4.0,5.79,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,2,1,750,890.8,5.79,7.1,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,3,1,750,879.8,7.1,9.27,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,4,1,750,841.8,9.27,7.59,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,5,1,750,900.4,7.59,8.83,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,6,1,750,897.6,8.83,9.66,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,7,1,750,884.1,9.66,9.25,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,8,1,750,901.1,9.25,7.03,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,9,1,750,882.9,7.03,8.68,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,10,1,750,901.2,8.68,10.25,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,11,1,750,900.7,10.25,9.49,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,12,1,750,901.6,9.49,7.72,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,13,1,750,900.5,7.72,8.32,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,14,1,750,900.3,8.32,10.06,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,15,1,750,897.1,10.06,11.48,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,16,1,750,902.5,11.48,10.88,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,17,1,750,807.4,10.88,13.07,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,18,1,750,902.0,13.07,15.73,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,19,1,750,900.4,15.73,17.95,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,20,1,750,902.0,17.95,18.25,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,21,1,750,901.2,18.25,20.92,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,22,1,750,900.6,20.92,22.48,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,23,1,750,902.1,22.48,24.41,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,24,1,750,901.1,24.41,23.28,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,25,1,750,899.4,23.28,24.76,0.0,83.73,0.0,83.73
Proposed,bigbuckbunny,4,26,1,750,823.2,24.76,25.44,0.0,83.73,0.0,83.73
