Method,Video,Episode,Chunk,Action_proposed,Applied_Action,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff
Proposed_ShieldedQoE,bigbuckbunny,2,28,1,1,750,824.4,30.0,26.83,0.0,83.73,11.76,71.97,0,0.06896551724137931,1,750,0.0,83.73,83.73,-11.760000000000005
Proposed_ShieldedQoE,bigbuckbunny,2,29,1,1,750,1037.6,26.83,28.8,0.0,83.73,0.0,83.73,0,0.06666666666666667,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,30,3,3,1850,1055.3,28.8,30.0,0.0,95.49,11.76,83.73,0,0.06451612903225806,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,31,1,1,750,1126.0,30.0,30.0,0.0,83.73,11.76,71.97,0,0.0625,1,750,0.0,83.73,83.73,-11.760000000000005
Proposed_ShieldedQoE,bigbuckbunny,2,32,1,1,750,892.4,30.0,30.0,0.0,83.73,0.0,83.73,0,0.06060606060606061,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,33,3,3,1850,941.8,30.0,30.0,0.0,95.49,11.76,83.73,0,0.058823529411764705,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,34,1,1,750,463.6,30.0,29.74,0.0,83.73,11.76,71.97,0,0.05714285714285714,1,750,0.0,83.73,83.73,-11.760000000000005
Proposed_ShieldedQoE,bigbuckbunny,2,35,1,1,750,1052.0,29.74,30.0,0.0,83.73,0.0,83.73,0,0.05555555555555555,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,36,1,1,750,355.7,30.0,24.8,0.0,83.73,0.0,83.73,0,0.05405405405405406,1,750,0.0,83.73,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,37,1,1,750,952.1,24.8,26.66,0.0,83.73,0.0,83.73,0,0.05263157894736842,2,1200,0.0,90.34,83.73,0.0
Proposed_ShieldedQoE,bigbuckbunny,2,38,3,3,1850,1023.8,26.66,27.66,0.0,95.49,11.76,83.73,0,0.05128205128205128,2,1200,0.0,90.34,90.34,-6.609999999999999
