Method,Video,Episode,Chunk,Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,2,21,2,1200,1036.7,8.75,8.74,0.0,90.34,23.76,66.58,2,1200,0.0,90.34,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,2,22,2,1200,1087.5,8.74,10.01,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,23,2,1200,1111.3,10.01,11.5,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,24,2,1200,1138.6,11.5,10.14,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,25,2,1200,1073.9,10.14,11.69,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,26,2,1200,1065.4,11.69,12.86,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,27,2,1200,984.5,12.86,13.9,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,28,2,1200,824.4,13.9,12.05,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,29,2,1200,1037.6,12.05,13.2,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,30,2,1200,1055.3,13.2,14.12,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,31,2,1200,1126.0,14.12,15.36,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,32,2,1200,892.4,15.36,11.62,0.0,90.34,0.0,90.34,1,750,0.0,83.73,77.12,13.219999999999999,0.0,0
Proposed,bigbuckbunny,2,33,2,1200,941.8,11.62,11.21,0.0,90.34,0.0,90.34,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,34,1,750,463.6,11.21,7.93,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,35,1,750,1052.0,7.93,9.42,0.0,83.73,0.0,83.73,1,750,0.0,83.73,83.73,0.0,0.0,1
Proposed,bigbuckbunny,2,36,0,300,355.7,9.42,5.11,0.0,66.58,17.15,49.43,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,2,37,0,300,952.1,5.11,8.19,0.0,66.58,0.0,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,2,38,2,1200,1023.8,8.19,6.78,0.0,90.34,23.76,66.58,1,750,0.0,83.73,83.73,-17.150000000000006,0.0,0
Proposed,bigbuckbunny,2,39,1,750,960.6,6.78,7.26,0.0,83.73,6.61,77.12,1,750,0.0,83.73,83.73,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,40,0,300,955.9,7.26,9.02,0.0,66.58,17.15,49.43,1,750,0.0,83.73,83.73,-34.300000000000004,0.0,0
Proposed,bigbuckbunny,2,41,2,1200,880.2,9.02,9.05,0.0,90.34,23.76,66.58,2,1200,0.0,90.34,83.73,-17.150000000000006,0.0,1
Proposed,bigbuckbunny,2,42,2,1200,1063.0,9.05,8.65,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,43,2,1200,934.7,8.65,9.33,0.0,90.34,0.0,90.34,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,44,1,750,994.6,9.33,9.12,0.0,83.73,6.61,77.12,2,1200,0.0,90.34,90.34,-13.219999999999999,0.0,0
Proposed,bigbuckbunny,2,45,2,1200,1000.9,9.12,10.76,0.0,90.34,6.61,83.73,2,1200,0.0,90.34,90.34,-6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,46,2,1200,858.9,10.76,10.89,0.0,90.34,0.0,90.34,3,1850,0.117,95.49,89.84,0.5,-0.117,0
