Method,Video,Episode,Chunk,Action,Applied_Action_proposed,Bitrate_kbps_proposed,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s_proposed,VMAF_proposed,Smooth_Penalty,Step_QoE_proposed,Shield_Intervened,Shield_Rate,Applied_Action_genie,Bitrate_kbps_genie,Rebuffer_s_genie,VMAF_genie,Step_QoE_genie,QoE_diff,Rebuf_diff,Action_match
Proposed,bigbuckbunny,2,30,2,2,1200,1055.3,4.75,4.0,0.237,90.34,0.0,89.32,0,0.0,1,750,0.0,83.73,83.73,5.589999999999989,0.237,0
Proposed,bigbuckbunny,2,31,2,2,1200,1126.0,4.0,4.0,0.112,90.34,0.0,89.86,0,0.0,1,750,0.0,83.73,83.73,6.1299999999999955,0.112,0
Proposed,bigbuckbunny,2,32,2,2,1200,892.4,4.0,4.0,4.207,90.34,0.0,72.25,0,0.0,1,750,0.0,83.73,83.73,-11.480000000000004,4.207,0
Proposed,bigbuckbunny,2,33,2,2,1200,941.8,4.0,5.52,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,34,2,2,1200,463.6,5.52,4.0,0.758,90.34,0.0,87.08,0,0.0,1,750,0.0,83.73,83.73,3.3499999999999943,0.758,0
Proposed,bigbuckbunny,2,35,2,2,1200,1052.0,4.0,6.17,0.0,90.34,0.0,90.34,0,0.0,1,750,0.0,83.73,83.73,6.609999999999999,0.0,0
Proposed,bigbuckbunny,2,36,2,2,1200,355.7,6.17,4.0,8.351,90.34,0.0,54.43,0,0.0,1,750,0.0,83.73,83.73,-29.300000000000004,8.351,0
Proposed,bigbuckbunny,2,37,2,2,1200,952.1,4.0,5.98,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,83.73,6.609999999999999,0.0,1
Proposed,bigbuckbunny,2,38,2,2,1200,1023.8,5.98,6.83,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,39,2,2,1200,960.6,6.83,7.19,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,40,2,2,1200,955.9,7.19,5.5,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,41,2,2,1200,880.2,5.5,5.68,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,42,2,2,1200,1063.0,5.68,4.57,0.0,90.34,0.0,90.34,0,0.0,2,1200,0.0,90.34,90.34,0.0,0.0,1
Proposed,bigbuckbunny,2,43,2,2,1200,934.7,4.57,4.0,0.825,90.34,0.0,86.79,0,0.0,2,1200,0.0,90.34,90.34,-3.549999999999997,0.825,1
Proposed,bigbuckbunny,2,44,2,2,1200,994.6,4.0,4.0,4.889,90.34,0.0,69.32,0,0.0,2,1200,0.0,90.34,90.34,-21.02000000000001,4.889,1
Proposed,bigbuckbunny,2,45,2,2,1200,1000.9,4.0,4.0,1.116,90.34,0.0,85.54,0,0.0,2,1200,0.0,90.34,90.34,-4.799999999999997,1.116,1
Proposed,bigbuckbunny,2,46,2,2,1200,858.9,4.0,4.0,2.921,90.34,0.0,77.78,0,0.0,2,1200,0.0,90.34,90.34,-12.560000000000002,2.921,1
