Method,Video,Episode,Chunk,Action,Applied_Action,Bitrate_kbps,Throughput_kbps,Buffer_Before,Buffer_After,Rebuffer_s,VMAF,Smooth_Penalty,Step_QoE,Shield_Intervened,Shield_Rate
Proposed,bigbuckbunny,4,0,0,0,300,891.0,1.78,4.0,0.572,66.58,0.0,64.12,0,0.0
Proposed,bigbuckbunny,4,1,1,1,750,891.2,4.0,4.49,0.0,83.73,17.15,66.58,0,0.0
Proposed,bigbuckbunny,4,2,1,1,750,890.8,4.49,6.11,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,3,1,1,750,879.8,6.11,8.02,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,4,1,1,750,841.8,8.02,6.76,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,5,2,2,1200,900.4,6.76,7.53,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,4,6,2,2,1200,897.6,7.53,7.92,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,7,2,2,1200,884.1,7.92,7.9,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,8,1,1,750,901.1,7.9,8.18,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,4,9,1,1,750,882.9,8.18,9.88,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,10,1,1,750,901.2,9.88,12.4,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,11,1,1,750,900.7,12.4,14.67,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,12,1,1,750,901.6,14.67,13.82,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,13,2,2,1200,900.5,13.82,13.53,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,4,14,2,2,1200,900.3,13.53,11.81,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,15,2,2,1200,897.1,11.81,10.26,0.0,90.34,0.0,90.34,0,0.0
Proposed,bigbuckbunny,4,16,1,1,750,902.5,10.26,7.87,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,4,17,2,2,1200,807.4,7.87,7.79,0.0,90.34,6.61,83.73,0,0.0
Proposed,bigbuckbunny,4,18,1,1,750,902.0,7.79,6.89,0.0,83.73,6.61,77.12,0,0.0
Proposed,bigbuckbunny,4,19,1,1,750,900.4,6.89,6.96,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,20,1,1,750,902.0,6.96,5.2,0.0,83.73,0.0,83.73,0,0.0
Proposed,bigbuckbunny,4,21,1,1,750,901.2,5.2,6.59,0.0,83.73,0.0,83.73,0,0.0
