video,chunk,bitrate_kbps,vmaf
tearsofsteel_short,37,1850,96.2339
tearsofsteel_short,37,2850,97.3224
tearsofsteel_short,37,6000,97.95
tearsofsteel_short,38,300,68.4975
tearsofsteel_short,38,750,87.3597
tearsofsteel_short,38,1200,93.9189
tearsofsteel_short,38,1850,98.0714
tearsofsteel_short,38,2850,98.9996
tearsofsteel_short,38,6000,99.394
tearsofsteel_short,39,300,66.7995
tearsofsteel_short,39,750,87.1604
tearsofsteel_short,39,1200,93.982
tearsofsteel_short,39,1850,97.1716
tearsofsteel_short,39,2850,98.2353
tearsofsteel_short,39,6000,98.8842
tearsofsteel_short,40,300,82.2096
tearsofsteel_short,40,750,97.1836
tearsofsteel_short,40,1200,99.6339
tearsofsteel_short,40,1850,99.9925
tearsofsteel_short,40,2850,100.0
tearsofsteel_short,40,6000,100.0
tearsofsteel_short,41,300,77.8037
tearsofsteel_short,41,750,94.9839
tearsofsteel_short,41,1200,99.1082
tearsofsteel_short,41,1850,99.9562
tearsofsteel_short,41,2850,100.0
tearsofsteel_short,41,6000,100.0
tearsofsteel_short,42,300,65.771
tearsofsteel_short,42,750,86.8642
tearsofsteel_short,42,1200,93.8879
tearsofsteel_short,42,1850,96.9852
tearsofsteel_short,42,2850,98.4912
tearsofsteel_short,42,6000,99.2962
tearsofsteel_short,43,300,72.447
tearsofsteel_short,43,750,91.2658
tearsofsteel_short,43,1200,95.2968
tearsofsteel_short,43,1850,97.1226
tearsofsteel_short,43,2850,97.9318
tearsofsteel_short,43,6000,98.5037
tearsofsteel_short,44,300,75.489
tearsofsteel_short,44,750,92.582
tearsofsteel_short,44,1200,96.5904
tearsofsteel_short,44,1850,98.3259
tearsofsteel_short,44,2850,99.0075
tearsofsteel_short,44,6000,99.3754
tearsofsteel_short,45,300,71.2475
tearsofsteel_short,45,750,89.0464
tearsofsteel_short,45,1200,94.9101
tearsofsteel_short,45,1850,97.3234
tearsofsteel_short,45,2850,98.1671
tearsofsteel_short,45,6000,98.678
